t=2026-06-14T21:39:17+0530 lvl=info msg="no configuration paths supplied"
t=2026-06-14T21:39:17+0530 lvl=info msg="using configuration at default config path" path=/home/aryan-budukh/.config/ngrok/ngrok.yml
t=2026-06-14T21:39:17+0530 lvl=info msg="open config file" path=/home/aryan-budukh/.config/ngrok/ngrok.yml err=nil
t=2026-06-14T21:39:17+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-14T21:39:17+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-14T21:39:17+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-14T21:39:17+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-14T21:40:49+0530 lvl=info msg="join connections" obj=join id=df42d452cc27 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:48738
t=2026-06-14T21:40:50+0530 lvl=info msg="join connections" obj=join id=ebda155afc89 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:60964
t=2026-06-14T21:40:54+0530 lvl=info msg="join connections" obj=join id=320342d7c5e1 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:48740
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=b76f15d56112 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=95d668737ec5 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=121ebe498268 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=10d9d966f513 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=f3bb66360ed9 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=21a1e2d2fb0b l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=726170bf63a3 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=95551530131f l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=ecefc3c2ae0b l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=456128b51001 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=3fcfb5750791 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=d955666ff07a l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=b62e1398317c l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=00123b451fce l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=af4cf29de773 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:59+0530 lvl=info msg="join connections" obj=join id=d1734a9f3af1 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
